Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"!""@.*!%-3",Various,Hurt Detal EP,"!""@.*!%","12"", EP",,2006,585353,Home_Collection_IH,2023-08-04 18:12:12,Mint (M),Very Good Plus (VG+),
sc24,Bus (2) Feat. MC Soom-T,Diamond EP,~scape,"12"", EP",,2004,358452,Home_Collection_IH,2023-08-17 15:23:45,Mint (M),Generic,
FLR 005,Untitled (5),Four Flies,4 Lux,"12""",,2003,168998,Home_Collection_IH,2023-08-17 15:52:25,Mint (M),Generic,
NOIR 001,ADMNTi,Delta Insignia,4Plae Records,"12"", EP",,2020,15512388,Home_Collection_IH,2023-08-13 21:20:52,Mint (M),Generic,"Minimal, Breakbeat"
50WEAPONS#026,Bambounou,Full Of Feelings,50Weapons,"12"", EP",,2013,4381955,Home_Collection_IH,2023-08-04 18:00:34,Near Mint (NM or M-),Near Mint (NM or M-),
SP-4702,Cat Stevens,Izitso,A&M Records,"LP, Album, Ter",,1977,493125,Home_Collection_IH,2023-08-13 20:56:59,Near Mint (NM or M-),Very Good Plus (VG+),
AO 22,Chris Carrier,Marches,Adult Only,"12""",,2004,292838,Home_Collection_IH,2023-08-13 22:33:22,Mint (M),,Vinyl Only
AD 017,Leonel Castillo,El Salon De Los Espejos,AirDrop Records,"12""",,2010,2529226,Home_Collection_IH,2023-09-26 21:44:37,Mint (M),Generic,Bought for 13
AN-31,All Natural,Keep It Movin,All Natural Inc.,"12""",,2004,711309,Home_Collection_IH,2023-08-05 11:21:50,Mint (M),Generic,
ML-2224,Loosefingers,What Is House?,Alleviated Records,"12"", RE",,2010,2517590,Home_Collection_IH,2023-08-04 18:16:14,Mint (M),Near Mint (NM or M-),
ARGOT002,Olin,Finally,Argot (2),"12"", Single",,2012,3828789,Home_Collection_IH,2023-08-17 13:55:57,Mint (M),Mint (M),
ARGOT017,Amir Alexander,The Butterfly,Argot (2),"12""",,2016,8286620,Home_Collection_IH,2023-08-17 15:26:27,Mint (M),Mint (M),
ARGOT021,Todd Osborn,Elastic 68,Argot (2),"12""",,2017,10466694,Home_Collection_IH,2023-08-17 15:12:19,Mint (M),Near Mint (NM or M-),
AROMA 035,Swirl People,Lideloo Dow Dow,Aroma,"12""",,2004,261295,Home_Collection_IH,2023-09-26 21:35:44,Mint (M),Very Good Plus (VG+),Bought for 7
ASPIK001,Martin Moeller,Multipolster,Aspik Musik,"12""",,2007,1004541,Home_Collection_IH,2023-08-05 11:36:44,Mint (M),Very Good Plus (VG+),
SD 33-292,Bee Gees,Best Of Bee Gees,ATCO Records,"LP, Comp",,1969,4640666,Home_Collection_IH,2023-08-18 00:50:10,Near Mint (NM or M-),Near Mint (NM or M-),
Atipic 008,ardb,Atipic008,Atipic,"12""",,2019,13989685,Home_Collection_IH,2023-08-17 14:30:10,Mint (M),Mint (M),
XSD 16009,ABBA,Greatest Hits Vol. 2,Atlantic,"LP, Comp, Gat",,1979,1192277,Home_Collection_IH,2023-08-18 00:46:33,Near Mint (NM or M-),Near Mint (NM or M-),
XSD 16023,ABBA,Super Trouper,Atlantic,"LP, Album, Imp",,1980,708712,Home_Collection_IH,2023-08-18 00:50:41,Near Mint (NM or M-),Near Mint (NM or M-),
"SD 1569, SD. 1569",Roberta Flack,Chapter Two,"Atlantic, Atlantic","LP, Album",,1970,8764306,Home_Collection_IH,2023-08-18 00:52:24,Near Mint (NM or M-),Near Mint (NM or M-),
"8139, RCV1 607271, 081227909550",Aretha Franklin,I Never Loved A Man The Way I Love You,"Atlantic, Atlantic, Atlantic","LP, Album, Mono, Club, RE, RM, Pur",,2019,14509303,Home_Collection_IH,2023-08-17 14:40:41,Mint (M),Mint (M),
AV-116,Crush Sounds,Everybody Rise,AV8 Records,"12""",,0,1619075,Home_Collection_IH,2023-08-13 14:16:48,Mint (M),Very Good (VG),
AV281,DJ Roli Fingaz,Call U Work It?,AV8 Records,"12""",,2003,2107193,Home_Collection_IH,2023-08-13 14:14:51,Mint (M),Very Good Plus (VG+),
AV86,Fatman Scoop & Crooklyn Clan,Be Faithful,AV8 Records,"12""",,1999,152517,Home_Collection_IH,2023-08-11 10:01:30,Near Mint (NM or M-),Very Good Plus (VG+),
"AV-69006, AV 69006",Van McCoy & The Soul City Symphony,Disco Baby,"Avco, Avco","LP, Album",,1975,1806481,Home_Collection_IH,2023-08-18 00:45:42,Near Mint (NM or M-),Near Mint (NM or M-),
AZNY 149R,Brown & Brown,Goodlife,Azuli Records,"12""",,2001,125380,Home_Collection_IH,2023-08-17 14:08:45,Mint (M),Very Good Plus (VG+),
BDTIMIN003,Jex Opolis,Bad Timin' Vol. 3,Bad Timin',"12""",,2023,26441345,Home_Collection_IH,2023-08-11 09:28:54,Mint (M),Generic,
BALIHU-008,Daniel Wang,Cristal-Plastique,Balihu Records,"12""",,1997,7320,Home_Collection_IH,2023-08-13 22:06:38,Mint (M),,
BAL003,Billy Ray De La Haye,Globetrotters,Baltermore,"12""",,2018,12605491,Home_Collection_IH,2023-08-11 09:30:01,Mint (M),Generic,
BM-0071,E'leesa Weldon,Where Did Your Love Go?,Bassment Records,"12""",,1987,201173,Home_Collection_IH,2023-08-17 14:56:19,Mint (M),Generic,
BT-16047,Hot Chocolate,You Sexy Thing,Big Tree Records,"7"", SP ",,1975,560925,Home_Collection_IH,2023-08-17 15:40:25,Mint (M),Generic,
92813-1,Timbaland,Tim's Bio: From The Motion Picture: Life From Da Bassment,"Blackground Entertainment, Atlantic, ZMan Records (2)","2xLP, Album, Gat",,1998,268060,Home_Collection_IH,2023-08-11 09:58:37,Mint (M),Generic,
BTS 5,Ike & Tina Turner,Outta Season,Blue Thumb Records,"LP, Album, Gat",,1968,5600443,Home_Collection_IH,2023-08-18 00:53:20,Near Mint (NM or M-),Near Mint (NM or M-),
BLU004,Fish Go Deep,Hey Mr California,Blusoul Music,"12""",,2004,307542,Home_Collection_IH,2023-09-26 21:31:40,Mint (M),Generic,"Bought for 7
"
BOND12070,Mihai Popoviciu,Echo Audio,Bondage Music,"12"", 180",,2023,27469776,Home_Collection_IH,2023-08-05 11:30:46,Mint (M),Mint (M),
Og200,Ellinor Jackson,Knowledge,Börft Records,"12"", EP",,2019,14248836,Home_Collection_IH,2023-08-17 14:25:06,Mint (M),Generic,
BBR007,Various,Edition 7,Bread And Butter Recordings,"12""",,2023,28141303,Home_Collection_IH,2023-10-05 17:12:58,Mint (M),Generic,white label
"BWOOD0310LP, 5054197580444, BWOOD0310",Yussef Dayes,Black Classical Music,"Brownswood Recordings, Nonesuch, Warner Music Group, Cashmere Thoughts Recordings, Brownswood Recordings","2xLP, Album, Ltd, Whi",,2023,28199671,Home_Collection_IH,2023-11-19 08:45:24,Mint (M),Mint (M),Bought for 36$ at Good Records
Buffalo Jams Vol 2,Glimmer Twins,Volume II,Buffalo Jams,"12""",,2003,147086,Home_Collection_IH,2023-10-05 17:03:33,Mint (M),Generic,
NBLP 7078,Donna Summer,Once Upon A Time...,Casablanca,"2xLP, Album",,1977,2352184,Home_Collection_IH,2023-08-18 00:50:59,Near Mint (NM or M-),Near Mint (NM or M-),
25648,Aric Sinai,Circle = בסוף מעגל,CBS,"LP, Album",,1983,7064423,Home_Collection_IH,2023-08-17 14:41:16,Near Mint (NM or M-),Near Mint (NM or M-),
460965-1,Riki Gal = Riki Gal,What Is Love... = מה זאת אהבה‫...,CBS,"LP, Album",,1988,10714691,Home_Collection_IH,2023-08-17 14:50:15,Mint (M),Near Mint (NM or M-),
"CF 060, CF060",Nathan Haines Feat. Lyric L,Doot Dude,"Chillifunk Records, Chillifunk Records","12""",,2003,208739,Home_Collection_IH,2023-08-05 11:24:14,Mint (M),Near Mint (NM or M-),
CHIL001,Nook & Cranny,La Salsa,Chiltepín Música,"12""",,2004,359071,Home_Collection_IH,2023-09-26 21:41:10,Mint (M),Generic,Bought for 6
CWX01,Audiopath,Now And Forever EP,Chiwax,"10"", EP",,2022,23235302,Home_Collection_IH,2023-08-17 14:20:46,Mint (M),Generic,
CBFR004,Gino (96),Crutches EP,Choose Better Friends Records,"12"", EP",,2021,19752973,Home_Collection_IH,2023-08-13 21:43:46,Mint (M),,Deep House
CP004,Coffee Pot,Nuevaera,Coffee Pot,"12"", Han",,2017,10534763,Home_Collection_IH,2023-08-17 15:08:11,Mint (M),Generic,
12C4-4216,Bruce Murray,In The Still Of The Night (I Remember),Columbia,"12""",,1979,3148167,Home_Collection_IH,2023-08-18 00:46:05,Near Mint (NM or M-),Generic,
CL 2004,Mahalia Jackson,Mahalia Jackson's Greatest Hits,Columbia,"LP, Comp, Mono",,1963,7951033,Home_Collection_IH,2023-08-18 00:47:02,Near Mint (NM or M-),Near Mint (NM or M-),
CS 8984,Thelonious Monk,It's Monk's Time,Columbia,"LP, Album, RE",,0,10986485,Home_Collection_IH,2023-08-13 21:00:22,Mint (M),Mint (M),
